"ID","Table"
"75","['82','67','47','60','100','51','22','86']"
"74","['28','11','22','51','31','15','38','46','75']"
"72","['34','47','44','4','69']"
"69","['48','12','20','58','16','50','40','6']"
"67","['43','52','30','29','33','54','64']"
"73","['54','35','100','90','94','63','31','96']"
"71","['85','41','42','54','73','52','35','59','24']"
"70","['10','95','61','46','47','88','28','24','56','90']"
"66","['39','89','7','76','49','51','35','54','80']"
"65","['78','76','29','14','88','46','28','18','45','32']"
"68","['95','4','75','64','79','90','44','53','45','62']"
"62","['12','14','46','18','58','41','88']"
"63","['100','56','21','76','4','84','87','34','89']"
"60","['31','26','16','11','33','1','13','94']"
"59","['50','71','61','29','47','58','46','95','7','78']"
"64","['47','53','72','66','18','30','28','45','14','55']"
"61","['14','69','75','12','99','31','6','16','37','22']"
"57","['79','53','73','54','10','10','21','29','35','61']"
"56","['20','29','31','5','11','54']"
"58","['37','57','56','52','1','40','23']"
"53","['29','31','64','71']"
"52","['81','94','72','14','80','45','46','14','71','53']"
"55","['72','61','94','26','18','94','53','39','90']"
"51","['27','36','15','63','95','32','66','65','5']"
"54","['17','38','20','6','63']"
"50","['85','37','3','10','90','54','13','86','33','16']"
"49","['37','76','84','71','6','4','51','74','69','56']"
"47","['63','82','15','62','11','22','16','74','61','61']"
"44","['83','36','68','23','80','27','11','93','84','21']"
"46","['4','79','57','84','66','7','24','70','9','97']"
"48","['60','41','22','70','15','66','33','38','89']"
"45","['26','2','10','72','59','68','52','32','58','96']"
"41","['54','31','2','45','53','36','68','1','9','3']"
"43","['72','46','42','69','59','22','33','81']"
"40","['61','93','15','57','30','17','3','20','98']"
"39","['75','21','11','88','12','74','44','32','13','54']"
"42","['41','34','90','64','44','4','75','62','48','81']"
"37","['32','8','92','87','23','79','18','50','72','91']"
"38","['63','42','91','67','37','84','9','7','53','25']"
"36","['61','90','71','86','82','79','44','14','17','95']"
"34","['45','76','63','92','82','85','12','7','51','35']"
"35","['10','30','57','83','89','5','72','49','45','15']"
"33","['57','8','14','10','2','25','89','5','3','19']"
"30","['42','74','31','71','82','26','18','27','13','55']"
"28","['4','77','46','52','23','64','55','22','12','8']"
"32","['22','87','79','56','10','94','57','19','61','65']"
"26","['85','60','100','45','74','27','22','94','48','86']"
"31","['14','55','82','35','66','1','89','51','93','28']"
"29","['67','31','65','97','43','3','48','6','87','50']"
"27","['30','93','55','41','62','54','55','8','43','18']"
"23","['48','6','19','63','28','83','12','17','54','52']"
"25","['61','88','32','51','3','85','22','37','38','66']"
"21","['44','23','40','56','45','43','55','34','76','93']"
"20","['12','12','51','63','42','2','4','37','77','52']"
"22","['63','75','13','27','58','15','55','89','86','29']"
"24","['42','57','37','59','23','83','74','43']"
"17","['52','38','14','46','72','10','61','2','62','6']"
"18","['74','79','71','76','39','20','90','61','20','83']"
"15","['51','68','84','38','70','37','22','78','17','14']"
"19","['58','59','84','85','74','74','63','35','47','67']"
"16","['40','95','21','58','25','49','6','42','5','11']"
"13","['20','39','89','46','2','95','60','63','94','82']"
"14","['63','37','76','78','71','96','16','51','6','74']"
"10","['45','67','56','6','26','61','2','14','22','88']"
"9","['41','60','53','67','7','84']"
"7","['52','56','56','45','10','11','96']"
"11","['63','57','17','82','26','18','68','30','62','66']"
"8","['14','56','30','41','54','64','55','69','83']"
"12","['45','63','17','60','27','29','74','16','77','79']"
"5","['78','29','84','11','48','1','23','36','54','93']"
"6","['73','21','44','56','81','23','22','94']"
"4","['5','66','50','58','70','57','98','97','34','72']"
"2","['54','82','85','64','30','94','59','63','22','78']"
"3","['84','33','66','61','87','12','42','64','67','14']"
"1","['29','100','48','62','8','13','93','17','67','94']"
"96","['43','48','6','77','31','51','68','87']"
"97","['62','91','13','18','95']"
"98","['86','73','54','58','12','5','62','93','89']"
"99","['28','17','72','88','82','75','100','33','12','80']"
"94","['6','74','69','50','88']"
"95","['41','17','71','76','26','64','9']"
"100","['15','82','45','53','54','1','36','31','68','11']"
"93","['43','29','36','54','11','1','5','84']"
"92","['15','4','100','48','67','8','29','93','94','74']"
"91","['57','92','8','18','50','23','32','37','93']"
"90","['91','46','26','72','94','94','61','39','55','66']"
"89","['12','93','5','62','86','73','54','98']"
"86","['48','60','45','26','94']"
"88","['69','74','50','94']"
"87","['60','41','6','31','48','77','51','68','96']"
"85","['2','43','33','7','46','45','12','3','56','70']"
"83","['55','14','69','41','54','30','8']"
"84","['22','7','60','53','67','41','9']"
