"ID","Table"
"75","['32','25','76','20','56','26','12','99','95','36','90','82','97','13','100','30','51','83']""72","['46','5','14','33','28','14','56','69','35','32','84','85','62','87','12','7','26','63','7','66']""70","['37','12','35','23','53','65','72','77','15','24','45','33','75','71','86','85','88','79','38','67']""71","['47','54','20','92','99','91','45','60','100','94','89','98','97','96','91','44']""67","['57','13','86','41','11','30','18','5','44','58','32','12','15','51','62']""68","['14','62','17','55','37','8','86','6','64','25','58','27','67','3','40','2','42','73']""66","['46','53','53','5','74','77','7','48','39','23','50','3','19','21','9','20','60','30','59']""64","['38','16','2','84','42','41','89','97','92','93','100','39','51','80','54','5','19','29','61','53']""65","['44','61','11','59','92','95','83','32','38','86','20','54','98','97','89','71','53','95','65','78']""63","['83','86','72','61','39','92','98','96','94','95','99','91','74','37','29','43','22','57','75','35']""62","['58','35','51','11','46','42','35','92','99','98','93','89','57','70','6','33','22','32','68','66']""61","['53','6','21','54','18','87','46','73','5','14','81','50','22','10','48','62','13','27','39','79']""60","['43','26','28','63','70','95','93','97','98','92','71','67','13','7','32','38','11','12','35','52']""57","['64','55','48','16','44','84','71','59','14','52','29','15','84','22','23','34','39','65','83','84']""59","['18','18','62','29','39','44','75','51','5','80','47','60','14','32','1','31','55','7','48','79']"
"58","['25','87','80','2','93','91','98','97','100','50','29']"
"54","['79','48','28','6','77','43','6','71','58','72','35','77','85','50','16','36','11','24','69','85']"
"55","['40','98','97','92','36','42','46','71','72','8','60','70','30','81']"
"56","['47','32','73','99','91','100','89','97','98','94','96','95','94','60','51','26','44','7']""53","['37','57','48','29','52','7','37','51','12','83','7','33','68','27','6','71','9','66','44','81']""69","['35','18','7','17','78','53','62','42','74','5','2','72','76','43','10','28','81','30','33','8']""52","['48','25','74','50','55','2','85','93','90','99','89','95','97','96','98','92','90','3','43','76']""50","['38','45','4','15','84','37','23','3','85','27','23','49','44','31','35','61','26','29','12','62']""51","['13','16','63','59','45','33','53','68','27','5','50','44','78','84','38','8','20','35','56','73']""49","['2','69','43','42','15','14','56','71','27','24','43','58','84','5','72','50','20','78','29','84']""48","['59','24','54','42','25','35','5','34','23','77','6','13','33','82','63','44','58','53','1','76']""47","['7','53','59','45','63','78','36','8','2','69','12','65','78','34','9','24','82','14','51','76']""45","['34','14','8','19','82','78','82','37','41','43','24','65','74','71','59','11','42','30','28','87']""46","['31','23','75','47','29','5','58','5','13','77','50','67','9','32','28','22','64','70','49','82']""43","['46','42','38','53','42','24','73','47','87','35','94','93','71','72','90','79','95','70','44','55']""41","['56','16','42','54','57','42','88','70','65','45','72','22','42','51','40','81','35','77','48','84']""44","['17','35','47','46','7','64','51','59','89','98','54','97','96','71','90','100','80','69']""40","['47','83','59','83','3','84','35','24','73','53','18','85','16','88','27','49','22','51','19','84']""39","['6','27','43','55','56','40','74','87','44','47','81','35','79','96','89','98','91','98','90','65']""42","['13','47','56','58','6','62','35','66','37','78','84','59','60','49','30','80','68','74','52','84']""37","['49','36','12','63','77','41','85','52','64','85','30','43','7','70','79','68','82','20','30','69']""36","['12','85','92','99','89','97','91','96','53','81','40','43','19','82','76','10','11','67','86','42']""38","['5','30','54','31','22','28','97','96','94','93','98','89','92','99','95','2','68','87','50','79']""35","['25','52','2','54','2','46','67','71','9','39','31','27','11','72','34','44','66','70','74','71']""34","['11','23','33','43','49','38','36','46','5','27','48','28','18','37','30','72','61','57','6','66']""33","['42','53','100','97','98','84','1','41','27','47','76','18','23','14','79','82','60','70','80','6']""32","['35','33','38','48','46','23','71','52','50','75','43','4','8','92','67','98','1','96','91','49']""31","['47','14','35','73','24','38','69','13','62','1','39','76','23','21','6','66','19','50','3','85']""29","['56','19','18','84','65','86','32','45','11','18','18','21','85','43','60','88','59','38','12','85']""30","['67','7','97','99','96','98','49','19','4','43','32','78','50','57','64','54','13','47','91','7']""28","['73','17','69','11','56','70','26','58','12','43','54','11','87','82','21','1','41','59','72','86']""27","['67','23','17','37','18','29','18','5','32','16','58','44','46','42','61','48','36','51','55','78']""26","['45','3','46','15','56','55','25','75','5','74','37','35','65','87','100','48','30','93','94','7']""24","['28','14','36','55','86','18','5','32','54','56','74','31','100','17','30','10','42','61','50','58']""25","['33','6','59','83','91','99','97','92','90','98','94','100','93','96','50','41','32','88','22','37']""23","['34','54','49','44','93','96','100','95','99','89','91','90','97','97','68','60','25','66','70','7']""22","['91','89','93','93','40','52','28','80','87','35','10','44','54','48','7','32','79','95','2','8']""21","['47','73','28','47','74','2','40','9','35','48','55','33','8','95','90','60','94','92','22','76']""20","['6','24','27','67','48','54','38','17','41','76','78','19','85','29','75','12','51','86','56','83']""19","['51','2','3','38','85','25','65','20','14','12','28','62','60','11','36','4','74','30','100','73']""18","['45','41','35','39','6','6','26','88','62','51','60','74','3','16','27','24','58','32','38','65']""17","['53','38','23','39','46','55','58','42','5','43','22','44','75','27','51','70','11','10','65','56']""16","['46','67','28','56','29','59','5','46','60','65','63','77','39','24','98','48','72','21','2','68']""15","['39','49','4','87','79','45','74','83','30','32','22','52','55','29','66','72','24','70','56','53']""14","['36','13','5','30','45','65','96','91','95','100','97','89','94','99','98','93','27','22','56','65']""13","['39','24','18','3','98','93','96','94','90','45','14','75','33','63','17','31','43','71','37','64']""12","['38','49','29','47','48','66','53','4','18','69','1','61','79','31','46','19','50','43','17','67']""11","['56','15','69','58','46','53','88','7','13','78','53','18','88','72','49','80','45','38','5','86']""10","['67','65','59','79','66','16','44','61','84','75','17','81','71','27','62','5','21','17','7','85']""6","['16','14','25','36','52','48','70','85','79','18','23','19','86','41','56','76','1','58','17','82']""5","['63','26','12','74','57','43','29','18','25','14','48','8','87','80','54','69','21','3','24','75']""4","['27','77','12','2','79','57','88','8','22','53','3','56','10','21','6','7','28','50','51','83']"
"7","['26','12','42','71','31','70','60','29','80','50','30','10','83']"
"8","['13','26','15','50','30','80','60','81']"
"9","['53','34','18','11','29','32','25','7','65','52','69','86','60','46','87','80','40','20','6']""3","['34','55','57','13','17','54','4','9','86','31','21','37','63','47','69','28','1','38','16','67']""2","['21','72','21','3','32','19','54','29','79','75','1','10','38','4','60','80','64','25','57','77']""1","['55','79','69','45','56','40','86','4','18','3','61','30','20','10','71','88','60','30','31','8']"
"88","['27','6','11','1','61','42','71','50','84','72','10','20','60','79']"
"87","['31','37','8','65','71','42','19','74','45','70','72','80']"
"85","['66','65','45','30','7','71','44','10','41','1','22']"
"83","['71','26','50','100','90']"
"86","['1','72','78','5','15','49','11','22','63','81']"
"81","['13','15','26','30','20','10','8']"
"82","['67','4','23','58','46','71','61','48','85','14','76','16','36','6','50','21','51','86']"
"79","['30','61','14','71','95','94','2','93','38','60','92','99']"
