"ID","Table"
"52","['39','91','92','75','94','74','30']""41","['83','49','76','39','94','99','80','90','80','84']"
"48","['25','37','46','33','96','92','10','11','23','5']""42","['48','46','43','39','20','83','94','69','58']"
"51","['29','23','65','8','71','93','72','92','77']""39","['75','87','78','96']"
"40","['9','41','10','53','70','99']""45","['86','9','26','8','18','93']"
"46","['2','97','49','71','100','32','19','30']""36","['83','84','87','81','98','89']"
"37","['57','19','77','94','71','100','72','98']""50","['74','96','10','6','80','95','94','90','87']"
"38","['20','26','55','23','77','96','94','87','93','90']""35","['96','87','44','85','88','86','77','95','79','97']"
"49","['70','5','6','10','66','99']""32","['56','25','63','97','12','23','60','53','24','33']"
"33","['28','45','74','99','88','76','71','81','76','61']""47","['42','73','100','23','29','78','38','63']"
"34","['100','88','91','87','82','97']""31","['62','60','76','99','84','78','77','73']"
"30","['26','60','13','14','28','31','68','12','46']""27","['74','58','18','37','11','72','95','78','60','81']"
"29","['38','87','19','35','60','4','93','31','62','94']""26","['17','24','90','33','36','99','77','68','9','25']"
"28","['77','66','93','79','54','89','50','75','91','95']""25","['26','44','74','79','70','32','42','4','13']"
"24","['21','100','41','51','32','36','22','57','88','5']""23","['88','19','80','39','61','46','33','96','92','89']"
"22","['39','19','60','99','82','81','88','68']""21","['77','71','83','95','83','58','99','15']"
"20","['38','91','40','2','83','72','99','85','71','88']""19","['57','43','58','80','33','23','96','52','86','89']"
"18","['32','82','55','75','50','25','74','52','93','45']""17","['8','26','61','71','12','30','25','93','54','87']"
"16","['14','20','36','96','62','69','51','79','72','11']""15","['31','68','82','39','90','83','25','86','78']"
"14","['74','78','80','58','32','25','85','98']""13","['55','32','41','74','73','97','81','75']"
"12","['11','23','94','58','17','66','65','27','61','98']""11","['53','25','1','89','91','70','20','76','44','84']"
"10","['45','42','85','80','97','72','18','100','83','11']""9","['75','79','18','31','20','64','78','76','99','2']"
"8","['33','94','99','73','27','56','60','50','90','77']""7","['76','98','29','70','1','21','69','83','77']"
"6","['1','40','84','20','93','44','12','81','66','95']""3","['28','47','25','97','93','100','9','8','82','29']"
"5","['87','12','33','79','62','4','95','24','51','2']""2","['87','86','86','81','77','96','94']"
"4","['14','53','94','25','100','28','78','23','70','26']""1","['64','63','6','42','29','41','5','50','97','94']"
"70","['25','17','57','91','94','80','97','83','82','35']""69","['12','73','4','83','75','92','97','78','20']"
"66","['72','32','73','80','99','97','93','89','75']""67","['94','52','76','80','77','93','75','97','30']"
"68","['19','88','38','82','81','60','99','69']""65","['7','81','79','72']"
"64","['52','10','19','40','83','97','88','80','85','79']""63","['78','29','73','47','88']"
"62","['95','52','65','93','79','76','84','5']""61","['33','11','40','82','88','99','3']"
"60","['29','13','91','64','16','74','44']""59","['2','71','30','85','89','90','75','72','93']"
"58","['37','88','93','90','39','83','94','42','22']""41","['39','90','80','84','81','85','88','73','49']"
"57","['48','37','10','92','83','94','81','75','97']""39","['75','78','96','87']"
"56","['94','93','79','99','73','76','97']""38","['55','96','94','87','88','73','72','79','23']"
"55","['19','26','37','96','46','93','59','97','85','78']""54","['50','94','77','85','93','81','83','73','81','42']"
"37","['57','19','77','71','100','72','98','94']""53","['60','75','30','89','25','97','94','85','35','4']"
"52","['91','75','30','68','46','31','26','28','39','92']""51","['29','23','65','8','71','72','92','77','93']"
"36","['84','87','81','98','89','83']""49","['5','6','10','66','99','70']"
"50","['96','10','6','80','95','94','90','87','74']""35","['85','77','79','97','83','80','82','91','70','88']"
"48","['11','95','34','62','69','57','12','90','75','25']""47","['92','76','88','80','71','100','81','38']"
"34","['92','74','90','77','90','100']""46","['21','52','39','28','31','60','30','68']"
"45","['55','32','25','52','83']""44","['39','35','75','72','37','68','77','17','25','57']"
"33","['97','73','77','12','25','63','32','67','76']""43","['68','22','70','82','3','4','97','80','71','99']"
"42","['72','93','82','74','76','88','88','17','48']""32","['24','33','100','93','96','95','87','74','79','60']"
"40","['88','90','72','89','94','9']""31","['60','76','99','84','78','77','73','62']"
"29","['31','86','47','93','3','4']""30","['74','100','49','46','77','93','52','67','97']"
"27","['58','18','37','11','72','95','78','60','81','74']""28","['66','93','79','54','89','50','75','91','95','77']"
"26","['85','44','32','14','100','28','25','4','24']""25","['4','13','99','36','9','55','26']"
"24","['32','36','22','57','88','33','4','87','2','51']""23","['19','80','39','61','46','33','96','92','89','88']"
"22","['68','33','87','55','100','42','58','93']""21","['77','71','95','83','25','86','39','90','99','15']"
"20","['99','85','71','88','4','12','75','69','38']""19","['57','43','58','33','23','96','52','86','89','80']"
"18","['75','50','74','93','45','78','84','95','55','82']""17","['26','61','71','12','30','25','93','54','87','8']"
"16","['79','11','94','77','81','99','80','44','53','36']""15","['68','82','78','99','58','21','31']"
