"ID","Table"
"67","['89','74','93','75','99','95','100','97']""66","['71','71','89','81','100','76','75','80','79']"
"64","['75','100','78','73','72','94','97','99','98','80']""63","['74','78','97','98','77','84']"
"61","['89','80','94','90','100','78','72','81']""60","['91','88','90','85','72','78','73']"
"62","['76','17','97','90','88','77','98','85','99','87']""59","['72','95','81','84','97','77']"
"58","['77','37','74','73','72','99','95','81','78']""57","['91','90','78','100','97','96','95']"
"56","['100','75','72','97','92','73','82','76']""51","['5','75']"
"55","['73','72','100','83','76','95','93']""54","['75','79','93','89','99','95','85','83','87','84']"
"44","['80','94','86','71','84','81','77','93']""52","['74','82','79','24','71']"
"53","['93','79','86','78','84','92','71']""40","['72','73','74','99','94']"
"38","['86','88','83','87','77','98','74','72']""50","['81','76','91','79','77','83','90']"
"49","['84','93','91','87','85','76','94']""36","['92','74','99','91','96','76','94','84','81','79']"
"48","['89','92','74','76','75','85','88','87','80','89']""47","['71','4','88','86','85','82','98','94','73']"
"46","['84','77','90','82','98','93']""33","['91','89','73','99','80','87','76']"
"43","['93','82','90','98','77']""45","['80','91','78','85','100','98']"
"42","['81','97','90','89','84','96','93','88']""41","['84','75','83','95','78','86','97','90','85']"
"39","['73','78','74','85','91','82','88','87']""37","['79','80','93','83','71','86']"
"35","['91','72','97','86','78','78']""32","['74','71','98','96','80','93','89','97','88']"
"34","['85','86','72','78','98','92','92']""31","['89','77','92','79','94']"
"17","['62','84','73','86','91','92','99','88','100','76']""14","['100','78','91','84','93','71','76','77','80','18']"
"12","['78','79','74','81','82','95','76','99','77','93']""10","['72','74','73','95','87','77']"
"30","['88','86','78','100','88','96','82','76','74']""6","['72','87','99','90','77','91','71','86']"
"8","['81','75','96','97','85','83']""29","['87','74','84','83','91','72','71','96','97','95']"
"27","['98','83','76','73','94','89','82','78','99']""28","['86','93','95','89','83','72','87','84','71']"
"3","['85','76','72','78','84','96','97']""26","['84','87','80','86','80','96','100','91','98']"
"25","['78','71','79','100','81','11','90','83','88']""23","['84','77','71','81','99','97','85']"
"24","['87','75','82','79','52','78','100','73','80','86']""22","['71','96','75','92']"
"21","['98','90','97','82','73','83','99']""20","['86','93','91','96','76','75']"
"19","['74','71','92','89','82','82','77','75']""18","['95','80','71','77','76','83','86','14']"
"15","['83','90','99','88','16','98','84']""16","['88','84','83','15','99','98','90','78','91']"
"7","['87','72','89','93','82','79','74','77']""13","['77','75','85','78','72','91','71','79','74']"
"5","['73','93','85','75','74','74','51','83','100']""9","['88','91','87','78','100','79','94','85','98']"
"11","['83','76','99','80','72','82','91','87','71','86']""4","['82','75','77','94','85','81','21']"
"1","['86','85','88','76','93','72']""2","['71','95','92','72','84','84','73']"
"70","['83','88','75','100','93','81','99']""69","['85','74','84','87','84','97']"
"68","['71','94','82','97','98','99','84','73']""67","['89','74','75','99','95','100','97','93']"
"66","['76','75','80','73','85','90','83','71']""65","['74','94','80','86','91','89','100']"
"64","['75','97','98','80','93','86','79','78']""63","['74','97','98','77','84','78']"
"62","['17','97','90','88','77','98','85','99','87','76']""60","['88','90','85','72','78','73','91']"
"61","['89','80','90','100','78','72','81','94']""59","['95','81','84','97','77','72']"
"58","['74','72','99','100','76','85','77']""50","['76','91','79','77','83','90','81']"
"57","['90','78','100','97','96','95','91']""55","['73','72','100','76','95','93','83']"
"54","['89','99','95','85','76','98','79']""56","['100','72','97','92','73','82','76','75']"
"53","['79','86','78','84','92','71','99','90','90','93']""52","['74','79','24','71','82']"
"51","['75','5']""49","['93','91','87','85','76','94','84']"
"48","['76','75','80','72','81','90','84','94','92']""46","['84','77','82','98','93','89','75','80','86','90']"
"47","['4','88','86','85','82','98','94','73','71']""45","['80','78','85','100','98','91']"
"44","['94','86','71','84','81','77','93','80']""43","['82','90','98','77','85','79','97','87','93']"
"42","['97','90','89','84','96','93','88','81']""41","['83','86','97','98','94','88','72','84']"
"40","['72','99','94','96','80','88','74']""39","['74','82','76','77','90','92','78']"
"38","['74','72','76','94','99','95','86']""37","['95','99','74','73','74','93']"
"35","['91','72','86','78','78','97']""36","['92','74','91','96','76','94','84','81','79','99']"
"34","['85','72','78','98','92','92','86']""33","['89','73','99','80','87','76','91']"
"32","['71','98','96','80','93','89','97','88','74']""31","['89','77','79','94','92']"
"24","['75','82','79','52','78','100','73','80','86','87']""21","['99','81','75','94','4','90']"
"20","['93','91','96','76','75','86']""30","['86','78','100','88','96','82','76','74','88']"
"18","['93','78','84','100','94','76','73','71']""14","['71','77','80','95','76','18']"
"16","['84','83','15','99','98','90','78','91','88']""12","['78','79','74','82','95','76','99','77','93','81']"
"29","['87','74','84','83','72','71','96','97','95','91']""6","['91','71','76','88','76','99']"
"8","['90','72','83','75','80','81']""3","['83','89','71','91']"
"10","['74','73','95','87','77','72']""28","['93','95','89','83','72','87','84','71','86']"
"2","['84','73','85','79','91','78','92']""26","['87','80','86','80','96','100','91','98','84']"
"27","['83','76','73','94','89','82','78','99','98']""23","['77','71','81','99','97','85','84']"
"25","['78','100','88','94','77','84','72','79']""22","['71','75','92','95','74','98','79','96']"
"19","['71','92','89','82','82','77','75','74']""15","['90','99','88','16','98','84','83']"
"17","['62','84','73','86','91','99','88','100','76','92']""13","['75','85','78','72','91','71','79','74','77']"
"11","['83','76','80','72','82','91','87','71','86','99']""9","['88','87','78','100','79','94','85','98','91']"
"7","['72','89','93','82','79','74','77','87']""5","['93','85','75','74','74','51','83','100','73']"
"1","['85','88','76','93','72','86']""4","['82','77','85','73','97','83','98','81','75','21']"
"70","['83','88','75','100','81','99','93']""69","['74','94','99','83','80','95','84']"
"68","['71','94','82','98','99','84','73','97']""67","['74','75','99','95','100','97','93','89']"
"66","['75','80','73','85','90','83','71','94','99','76']""65","['94','80','86','91','89','100','74']"
"62","['77','98','87','76','92','100','73','17']""64","['79','78','95','92','77','82','97']"
"63","['97','98','77','84','78','74']""61","['89','100','93','84','88','98','96','90']"
"59","['95','81','84','77','72','99','79','94','97']""60","['88','85','72','78','73','91','89','71','90']"
"58","['72','99','100','76','85','77','74']""57","['78','100','97','96','95','91','90']"
"56","['92','82','83','99','74','91','78','100']""55","['72','100','76','95','93','83','73']"
"54","['89','95','85','76','98','79','73','72','100','99']""53","['78','92','99','90','93','94','83','77','86']"
"51","['5','100','73','83','75']""52","['81','72','78','94','90','86','75','71']"
"50","['81','73','85','78','84','79']""49","['91','87','85','76','94','84','93']"
"48","['75','80','72','81','90','84','94','92','74','76']""41","['83','86','98','94','88','72','84','97']"
"47","['88','86','85','82','98','94','73','71','4']""45","['80','78','100','98','91','85']"
"46","['77','82','98','93','89','75','80','86','90','84']""32","['71','96','89','77','83','81','98']"
"44","['86','71','84','81','77','93','80','94']""43","['86','83','77','96','80','71','85']"
"40","['80','82','98','83','98','94']""39","['82','76','77','90','92','78','74']"
"42","['82','98','89','83','86','93']""38","['72','76','94','99','95','86','74']"
"37","['95','74','73','74','93','99']""36","['92','74','91','76','94','84','81','79','99','96']"
"35","['72','86','78','78','97','91']""33","['76','90','95','72','92','89']"
"34","['72','78','98','92','92','86','87','82','83','85']""31","['77','79','94','92','89']"
"28","['87','71','86','90','99','91','73','89']""16","['83','15','99','98','90','78','91','88','84']"
"30","['86','78','100','96','82','76','74','88','88']""10","['73','95','87','77','72','74']"
"29","['74','84','83','72','71','96','97','95','91','87']""12","['78','74','82','95','76','99','77','93','81','79']"
"8","['72','83','75','80','81','90']""27","['76','73','94','89','82','78','99','98','83']"
"5","['85','75','74','74','51','83','100','73','93']""2","['73','85','79','91','78','92','84']"
"25","['100','88','94','77','84','72','79','78']""26","['80','98','84','94','74','86']"
"24","['82','79','52','78','100','73','80','86','87','75']""22","['71','92','95','74','98','79','96','75']"
"23","['71','81','99','97','85','84','77']""21","['81','75','94','4','90','85','99']"
"20","['93','91','76','75','86','96']""18","['78','76','80','95','14','93']"
"19","['92','89','82','82','77','75','74','71']""17","['62','84','100','92','77','87','86']"
"15","['83','81','79','85','76','97']""14","['71','77','95','76','18','84','100','73','94','80']"
"13","['85','78','72','91','71','79','74','77','75']""6","['71','76','88','76','99','91']"
"9","['87','78','100','79','94','85','98','91','88']""11","['76','80','72','82','91','87','71','86','99','83']"
"7","['89','93','82','79','74','77','87','72']""3","['83','71','91','89']"
"4","['97','98','99','94','86','47','21']""1","['88','76','93','72','86','85']"
"69","['94','99','83','80','95','84','74']""70","['75','80','98','86','96','81']"
"68","['88','94','78','96','85','97']""67","['75','99','95','100','97','93','89','74']"
"65","['80','86','91','89','100','74','94']""66","['73','85','90','94','91','75']"
"64","['78','95','92','77','82','97','79']""61","['100','93','84','88','98','96','90','89']"
"63","['98','77','84','78','74','95','87','86','91','97']""60","['85','72','78','73','91','89','71','90','88']"
"62","['17','99','88','73','93','90','95','77']""59","['81','84','77','72','99','79','94','97','95']"
"58","['99','100','76','85','77','74','72']""56","['82','83','99','74','91','78','100','92']"
"52","['90','71','100','93','82','79','94']""57","['78','96','90','82','74','85','72','97']"
"47","['85','71','4','75','79','100','74','72','88']""42","['82','89','83','86','93','90','98']"
"49","['87','85','76','94','84','93','91']""50","['81','73','78','84','79','85']"
"44","['71','84','81','77','93','80','94','86']""41","['83','98','94','88','72','84','97','86']"
"40","['83','98','100','77','99','81','85','97','80']""38","['72','79','89','98','88','71','76']"
"54","['89','85','76','98','79','73','72','100','99','95']""55","['100','76','95','93','83','73','72']"
"36","['74','91','76','94','84','81','79','99','96','92']""48","['75','72','81','90','84','94','92','74','76','80']"
"51","['5','100','73','75','83']""53","['92','99','90','93','94','83','77','86','78']"
"43","['71','75','78','97','74','78','77']""45","['78','100','98','91','85','72','90','88','83','80']"
"46","['84','92','97','77','91','98','75']""39","['74','83','95','75','84','78']"
"35","['72','78','78','97','91','86']""37","['74','73','74','93','99','95']"
"33","['90','95','72','92','89','76']""34","['78','98','92','92','86','87','82','83','85','72']"
"32","['83','88','90','82','99','93','96']""31","['77','94','92','89','79']"
"30","['76','74','97','81','90','73','100']""29","['74','83','72','71','96','97','95','91','87','84']"
"28","['71','86','90','99','91','73','89','87']""26","['98','84','94','74','86','80']"
"27","['73','94','89','82','78','99','98','83','76']""24","['79','52','78','100','73','80','86','87','75','82']"
"4","['97','99','94','86','47','21','75','85','98']""25","['88','94','77','84','72','79','78','100']"
"23","['81','99','97','85','84','77','71']""22","['79','96','90','84','77','95']"
"21","['81','75','4','90','85','99','86','98','47','94']""20","['91','76','75','86','96','93']"
"19","['89','82','82','77','75','74','71','92']""15","['83','81','79','76','97','85']"
"18","['76','80','95','14','93','75','71','72','87','78']""17","['62','100','92','77','87','86','84']"
"16","['15','99','98','90','78','91','88','84','83']""14","['77','95','76','18','84','100','73','94','80','71']"
"12","['77','87','90','86','75','88','97','76','74']""13","['78','72','91','71','79','74','77','75','85']"
"11","['80','72','82','91','87','71','86','99','83','76']""8","['72','75','80','81','90','83']"
"10","['95','87','77','72','74','73']""9","['100','85','88','93','76','92','81','87']"
"7","['93','82','79','74','77','87','72','89']""6","['76','88','76','99','91','71']"
"5","['100','73','90','87','97','82','83']""2","['73','85','79','78','92','84','91']"
"1","['76','93','72','86','85','88']""3","['71','91','89','88','78','93','87','74','83']"
"70","['80','98','86','96','81','75']""68","['88','94','78','85','97','96']"
"69","['94','83','80','95','84','74','89','88','75','99']""67","['99','95','100','97','93','89','74','75']"
"66","['73','85','94','91','75','90']""65","['80','86','89','100','74','94','91']"
"64","['78','92','77','82','97','79','95']""63","['84','78','91','97','82','71','98']"
"62","['17','99','88','93','90','95','77','73']""61","['90','89','73','77','78','98']"
"60","['82','91','95','76','73','76','71']""59","['81','77','72','99','79','94','97','95','84']"
"58","['100','76','85','77','74','72','99']""57","['96','90','82','74','85','72','97','78']"
"52","['71','100','93','82','79','94','90']""56","['83','99','74','91','78','100','92','82']"
"48","['72','81','90','84','94','92','74','76','80','75']""55","['76','95','93','83','73','72','100']"
"44","['81','94','87','99','99','71']""54","['79','72','100','99','82','74','89']"
"34","['98','92','92','86','87','82','83','85','72','78']""53","['99','90','93','94','83','77','86','78','92']"
"38","['76','90','77','82','78','79']""50","['81','73','78','79','85','84']"
"51","['5','100','75','83','86','81','96','87','73']""45","['100','98','91','85','72','90','88','83','80','78']"
"49","['85','76','94','84','93','91','86','79','87']""47","['4','75','72','87','92','94','98','94','79']"
"46","['84','92','97','77','91','75','98']""43","['75','78','97','74','78','77','71']"
"41","['98','94','88','72','84','97','86','83']""42","['82','83','86','93','90','98','89']"
"40","['100','99','97','78','94','74','73','98']""39","['74','83','75','84','78','80','96','73','96','95']"
"37","['73','84','80','98','75','88','74']""36","['76','79','99','96','75','89','72','91']"
"35","['100','71','79','93','90','91']""33","['90','72','92','89','76','95']"
"32","['84','80','82','85','76','90','71','99']""31","['94','92','89','79','77']"
"30","['74','97','81','90','73','100','76']""28","['86','90','99','91','73','89','87','71']"
"29","['74','72','71','96','97','95','91','87','84','83']""27","['94','89','82','78','99','98','83','76','73']"
"25","['88','77','84','72','79','78','100','94']""26","['84','94','74','86','80','90','88','100','98']"
"23","['84','72','82','100','98','99']""22","['96','90','84','77','95','79']"
"24","['87','82','91','85','90','71','84','72','80']""20","['76','75','86','96','93','91']"
"21","['75','4','90','85','99','86','98','47','94','81']""19","['82','82','77','75','74','71','92','89']"
"18","['80','95','14','93','75','71','72','87','78','76']""14","['95','76','18','84','100','73','94','80','71','77']"
"17","['100','92','77','87','86','84','62']""15","['81','79','76','97','85','83']"
"16","['15','98','90','78','91','88','84','83','99']""13","['78','72','71','79','74','77','75','85','91']"
"9","['85','88','93','76','92','81','87','100']""12","['87','90','86','75','88','97','76','74','77']"
"11","['80','72','82','87','71','86','99','83','76','91']""10","['87','77','72','74','73','95']"
"5","['73','90','87','97','82','83','100']""8","['72','75','81','90','83','80']"
"7","['82','79','74','77','87','72','89','93']""6","['76','76','99','91','71','88']"
"3","['91','89','88','78','93','87','74','83','71']""1","['95','94','82','83','81','72']"
"4","['99','94','86','47','21','75','85','98','97']""2","['73','79','78','92','84','91','85']"
"70","['80','86','96','81','75','98']""69","['94','83','80','84','74','89','88','75','99','95']"
"68","['92','76','83','91','83','94']""66","['73','94','91','75','90','85']"
"67","['74','75','82','96','80','76','95']""63","['78','91','92','76','79','77','88','84']"
"64","['78','77','82','97','79','95','99','89','79','92']""65","['80','89','100','74','94','91','77','76','86']"
"62","['90','73','92','100','86','84','99']""61","['89','73','77','78','98','90']"
"60","['82','91','76','73','76','71','90','89','98','95']""59","['72','97','95','78','89','78','99']"
"58","['100','76','77','74','72','99','85']""57","['90','72','88','83','94','96']"
"52","['71','100','82','79','94','90','93']""56","['74','92','72','96','96','78']"
"48","['72','81','90','84','92','74','76','80','75','94']""55","['95','93','83','73','72','100','76']"
"39","['74','83','75','78','80','96','73','96','95','84']""54","['72','100','99','82','74','89','79']"
"32","['84','80','82','85','76','71','99','90']""53","['90','93','94','83','77','86','78','92','99']"
"51","['81','96','73','95','84','100']""36","['75','72','86','80','77','96']"
"50","['73','78','79','85','84','81']""49","['76','94','84','93','91','86','79','87','85']"
"47","['87','94','79','85','76','78','73','90','4']""46","['84','92','77','91','75','98','97']"
"44","['87','78','86','92','95','86','99']""45","['98','91','85','72','90','88','83','80','78','100']"
"43","['75','78','74','78','77','71','97']""41","['94','88','77','93','73','71','98']"
"42","['82','83','93','90','98','89','84','97','87','86']""40","['100','97','78','94','74','73','98','99']"
"37","['84','80','98','75','88','74','73']""35","['83','95','77','87','92','100']"
"38","['76','77','82','78','79','72','84','88','90']""34","['92','92','86','87','82','83','85','72','78','98']"
"33","['90','72','89','76','95','78','81','96','97','92']""31","['92','89','79','77','94']"
"30","['97','81','90','73','100','76','74']""29","['72','71','96','97','95','91','87','84','83','74']"
"28","['86','90','91','73','89','87','71','99']""26","['84','74','86','80','90','88','100','98','94']"
"27","['89','82','78','99','98','83','76','73','94']""24","['71','84','80','89','83','81','85']"
"23","['72','82','100','98','99','84']""22","['90','84','77','95','79','96']"
"25","['79','94','80','81','93','71','73','77']""19","['84','86','76','72','91']"
"20","['75','86','96','93','91','76']""21","['4','90','85','99','86','98','47','94','81','75']"
"18","['80','14','93','75','71','72','87','78','76','95']""17","['92','77','87','86','84','62','88','93','95','100']"
"15","['79','76','97','85','83','81']""16","['15','90','78','91','88','84','83','99','98']"
"13","['72','71','79','74','77','75','85','91','78']""14","['76','18','84','100','73','94','80','71','77','95']"
"12","['87','90','86','75','88','76','74','77','97']""11","['80','72','87','71','86','99','83','76','91','82']"
"10","['77','72','74','73','95','87']""9","['88','93','76','92','81','87','100','85']"
"6","['76','99','91','71','88','76']""8","['72','81','90','83','80','75']"
"7","['79','74','77','87','72','89','93','82']""3","['74','83','71','100','86','81','78']"
"5","['90','87','97','82','83','100','73']""4","['94','21','97','90','79','78','99']"
"2","['73','78','92','84','91','85','79']""1","['94','82','83','81','72','79','100','85','95']"
"70","['80','86','81','75','98','96']""68","['76','83','91','83','94','92']"
"67","['75','82','96','80','76','95','74']""69","['83','80','84','74','89','88','75','99','95','94']"
"66","['94','91','75','90','85','73']""64","['78','77','97','79','95','99','89','79','92','82']"
"65","['89','100','74','94','91','77','76','86','80']""63","['91','92','76','79','77','88','84','78']"
"61","['73','77','78','98','90','89']""62","['73','92','100','86','84','99','90']"
"59","['97','95','78','89','78','99','72']""58","['96','76','77','78','91','77','97']"
"60","['73','76','71','95','83','81','88','91']""57","['72','88','83','94','96','90']"
"55","['76','75','98','85','99','72']""53","['93','94','83','77','86','78','92','99','90']"
"56","['92','72','96','96','78','95','83','84','73','74']""54","['100','99','82','74','89','79','72']"
"52","['71','100','79','94','90','93','82']""51","['81','73','95','84','100','83','74','85','96']"
"49","['94','84','93','91','86','79','87','85','76']""50","['73','79','85','84','81','78']"
"47","['87','94','85','76','73','98','75','86','90','4']""48","['72','81','84','92','74','76','80','75','94','90']"
"45","['85','72','90','100','99','79','73','96','98']""46","['84','77','91','75','98','97','92']"
"44","['86','99','74','84','100','76','76','87']""42","['82','93','90','98','89','84','97','87','86','83']"
"43","['75','74','78','77','71','97','78']""41","['88','77','93','73','71','98','94']"
"40","['100','78','94','74','73','98','99','97']""39","['74','78','80','96','95','99','77','86','75']"
"38","['76','77','78','79','72','84','88','90','82']""37","['84','80','75','88','74','73','98']"
"36","['72','86','80','77','96','75']""34","['82','85','72','98','71','100','87']"
"35","['83','77','87','92','100','76','96','71','97','95']""33","['72','89','76','95','78','81','96','97','92','90']"
"32","['99','90','74','75','77','89','94','85']""30","['81','90','73','100','76','74','97']"
"29","['71','96','97','95','91','87','84','83','74','72']""15","['76','97','85','83','81','79']"
"31","['89','79','77','94','85','72','80','72','92']""10","['72','74','73','95','87','77']"
"12","['74','80','75','82','86']""28","['86','71','80','94','93','78','91']"
"7","['74','77','87','72','89','93','82','79']""27","['83','73','94','95','72','87','77','80','82']"
"2","['73','92','84','91','85','79','78']""26","['80','90','98','97','83','75','79','74']"
"5","['90','87','82','83','100','73','91','79','74','97']""25","['94','80','81','93','71','73','77','79']"
"24","['71','80','89','83','81','85','84']""22","['84','77','95','79','96','90']"
"23","['72','82','100','99','84','81','91','71','98']""21","['90','85','99','86','98','47','94','81','75','4']"
"20","['86','96','93','91','76','75']""19","['84','76','72','91','86']"
"18","['14','93','75','71','72','87','78','76','95','80']""16","['15','78','91','88','84','83','99','98','90']"
"17","['77','87','86','84','62','88','93','95','100','92']""13","['71','79','74','77','75','85','91','78','72']"
"8","['81','90','83','80','75','72']""14","['18','84','100','73','94','80','71','77','95','76']"
"9","['88','76','92','81','87','100','85','93']""11","['72','87','71','86','99','83','76','91','82','80']"
"6","['99','91','71','88','76','92','87','74','75','76']""4","['21','97','90','79','78','99','75','86','47','94']"
"3","['83','71','100','86','81','78','74']""1","['82','83','81','72','79','100','85','95','94']"
"70","['80','81','75','98','96','79','93','87','74','86']""68","['76','83','83','94','92','79','74','99','88','91']"
"67","['95','71','88','100','94','96']""69","['84','89','75','94','86','90','85','71','83']"
"66","['91','75','90','85','73','94']""65","['100','74','94','91','77','76','86','80','89']"
"63","['79','84','98','83','99','80','85','88']""61","['73','77','98','90','89','78']"
"64","['95','89','82','80','71','74','90','97']""62","['73','100','86','84','99','90','92']"
"60","['73','71','95','83','81','88','91','76']""58","['97','83','89','76','76']"
"59","['95','78','89','78','99','72','97']""57","['88','83','94','96','90','72']"
"56","['72','96','84','73','80','93','88','86','92']""55","['76','75','98','85','72','100','91','99']"
"54","['79','71','85','84','73','89']""53","['92','99','90','73','71','81','86']"
"52","['93','83','92','81','75','100']""51","['73','95','84','100','83','74','85','96','81']"
"50","['78','76','77','72','86','99']""49","['79','85','76','95','96','89','72','91']"
"48","['72','81','92','74','76','80','75','94','90','84']""47","['85','76','73','98','90','78','99','79','97','87']"
"46","['98','76','80','88','100','75']""45","['85','72','79','74','88','84','90']"
"44","['99','74','84','100','76','76','87','86']""43","['75','74','77','71','97','78','78']"
"42","['93','90','98','89','84','97','87','86','83','82']""41","['98','72','89','82','97','73']"
"40","['78','94','74','73','98','99','97','100']""39","['78','80','96','95','99','77','86','75','74']"
"38","['76','77','79','72','84','88','90','82','78']""37","['84','80','75','74','73','98','88']"
"36","['86','80','77','96','75','72']""34","['85','72','98','71','100','87','82']"
"35","['83','96','97','95','80','79','80','92']""33","['95','96','97','92','82','85','99','79','76']"
"32","['90','74','75','77','89','94','85','99']""31","['79','77','94','85','72','80','72','92','89']"
"30","['81','73','100','76','74','97','95','84','91','90']""28","['71','80','94','93','78','91','86']"
"27","['73','94','95','72','87','77','80','82','83']""25","['80','81','93','71','73','77','79','94']"
"23","['72','100','99','84','81','91','71','98','82']""29","['96','95','83','74','82','81','88','71']"
"24","['80','89','83','81','85','84','71']""26","['80','98','97','83','75','79','74','90']"
"22","['77','95','79','96','90','84']""20","['96','93','91','76','75','86']"
"21","['90','85','99','98','47','81','97','79','75','4']""19","['76','72','91','86','84']"
"18","['87','78','76','80','85','98','93']""17","['77','86','84','62','88','93','95','100','92','87']"
"16","['78','91','88','84','83','99','98','90','15']""15","['97','85','83','81','79','87','89','87','76']"
"14","['18','84','100','73','80','71','77','95','76','94']""13","['79','74','77','75','85','91','78','72','71']"
"12","['80','75','82','86','74']""11","['87','71','86','99','83','76','91','82','80','72']"
"10","['74','73','95','87','77','72']""8","['90','83','80','75','72','81']"
"9","['88','76','81','87','100','85','93','92']""7","['77','87','72','89','93','82','79','74']"
"6","['91','71','88','76','92','87','74','75','76','99']""5","['100','73','74','97','77','84','82']"
"3","['71','100','86','81','78','74','83']""4","['97','90','79','78','99','75','86','47','94','21']"
"2","['92','84','91','85','79','78','73']""1","['82','81','72','79','100','85','95','94','83']"
"70","['81','75','98','96','79','93','87','74','86','80']""69","['94','85','71','97','80','93','84']"
"68","['76','83','94','92','79','74','99','88','91','83']""66","['96','79','100','82','86','75']"
"67","['71','88','100','94','96','90','82','92','95']""64","['82','97','94','85','87','79','95']"
"63","['84','98','83','99','80','85','88','79']""62","['90','83','89','91','93','74','73']"
"65","['74','94','91','77','76','86','80','89','100']""60","['71','95','83','81','88','91','76','73']"
"61","['73','98','90','89','78','77']""59","['78','89','78','99','72','97','95']"
"58","['83','89','76','76','97']""57","['88','83','96','90','72','94']"
"56","['72','84','73','80','93','88','86','92','96']""46","['76','80','88','100','75','96','84','91','98']"
"52","['83','92','81','75','100','93']""55","['100','99','86','89','73','91']"
"54","['85','73','72','71','89']""41","['72','89','82','97','73','98']"
"53","['99','90','73','71','81','86','92']""50","['78','76','77','72','99','86']"
"51","['73','84','100','83','74','85','96','81','95']""38","['76','79','72','84','88','90','82','78','77']"
"34","['72','98','71','100','87','82','85']""49","['85','76','95','96','89','72','91','79']"
"48","['72','92','74','76','80','75','94','90','84','81']""47","['85','76','73','98','78','99','79','97','87','90']"
"45","['72','79','74','88','84','90','85']""44","['100','76','98','83','72','75','78','99']"
"43","['74','77','71','97','78','78','75']""40","['78','74','73','98','99','97','100','94']"
"39","['78','80','95','99','77','86','75','74','96']""37","['88','72','82','89','92','84']"
"42","['90','98','89','84','97','87','86','83','82','93']""36","['80','77','96','75','72','84','82','86']"
"35","['96','80','92','91','86','98','87','97']""33","['85','99','76','91','94','75','92']"
"32","['90','74','75','77','89','85','99','94']""31","['77','94','85','72','80','72','92','89','79']"
"30","['73','100','76','74','97','95','84','91','90','81']""29","['95','83','74','82','81','88','71','96']"
"28","['80','94','93','78','91','86','71']""26","['98','97','83','75','79','74','90','80']"
"27","['94','95','72','87','77','80','82','83','73']""25","['80','81','71','73','77','79','94','93']"
"22","['95','79','96','90','84','77']""24","['80','83','81','85','84','71','89']"
"23","['100','99','84','81','91','71','98','82','72']""21","['75','4','78','47','97','99','90']"
"20","['93','91','76','75','86','96']""19","['72','91','86','84','76']"
"18","['78','76','80','85','98','93','87']""17","['86','84','62','88','93','95','100','92','87','77']"
"16","['88','84','99','98','87','85','97','79','91','78']""13","['74','77','75','85','91','78','72','71','79']"
"12","['80','75','86','74','82']""15","['89','87','76','91','90','16','81']"
"14","['18','100','73','80','71','77','95','76','94','84']""10","['73','95','87','77','72','74']"
"11","['71','86','99','83','76','91','82','80','72','87']""9","['76','81','87','100','85','93','92','88']"
"8","['83','80','75','72','81','90']""7","['87','72','89','93','82','79','74','77']"
"6","['71','88','76','92','87','74','75','76','99','91']""5","['73','74','97','77','84','82','100']"
"4","['86','47','85','81','94','79']""2","['84','91','85','79','78','73','92']"
"3","['71','100','81','78','74','83','86']""1","['81','72','79','100','85','95','94','83','82']"
"70","['75','98','96','79','93','87','74','86','80','81']""69","['85','71','97','80','93','84','94']"
"68","['74','88','91','83','81','87','75','97','83']""67","['71','88','92','97','74','91','77','98','94']"
"65","['94','91','77','76','86','80','89','100','74']""64","['97','94','85','87','79','95','82']"
"66","['79','100','82','86','75','96']""63","['98','83','99','80','85','88','79','84']"
"61","['89','78','86','97','80','71','99','95','98']""62","['89','71','79','92','80','90']"
"60","['94','89','75','79','72','79','99']""59","['72','74','100','91','78']"
"58","['83','76','76','97','89']""57","['83','96','90','72','94','88']"
"56","['84','73','80','93','88','86','92','96','72']""31","['94','85','72','80','72','92','89','79','77']"
"55","['99','86','89','73','91','100']""54","['73','72','71','89','85']"
"53","['90','73','71','81','86','92','99']""51","['98','75','93','99','95','74']"
"52","['93','86','85','78','76','75','96']""49","['76','95','96','89','72','91','79','85']"
"48","['92','74','76','80','75','94','90','84','81','72']""50","['89','84','81','87','87','72']"
"47","['76','99','97','87','82','74','88','85']""46","['76','80','100','75','96','84','91','98','88']"
"45","['79','74','88','84','90','85','72']""43","['77','71','97','78','78','75','74']"
"44","['100','98','83','72','75','78','99','76']""42","['98','89','84','97','87','86','83','82','93','90']"
"41","['72','89','82','73','98','87','92','79','99','97']""40","['74','73','98','99','97','100','94','78']"
"39","['75','74','96','84','72','91','77']""38","['79','72','84','88','90','82','78','77','76']"
"36","['77','96','75','72','84','82','86','80']""37","['88','72','82','89','84','92']"
"34","['98','71','100','87','82','85','72']""33","['85','76','91','94','75','92','99']"
"32","['74','75','77','89','85','99','94','90']""35","['80','92','91','86','98','87','97','96']"
"17","['84','95','100','77','73','91','94','82','73','86']""30","['100','76','74','97','95','84','91','90','81','73']"
"12","['75','86','74','82','80']""29","['83','74','82','81','88','71','96','95']"
"10","['95','87','77','72','74','73']""8","['80','75','72','81','90','83']"
"28","['80','93','78','91','86','71','94']""6","['88','76','92','87','74','75','76','99','91','71']"
"3","['71','100','78','74','83','86','81']""27","['94','72','87','77','80','82','83','73','95']"
"2","['91','85','79','78','73','92','84']""26","['83','80','92','72','89','85','97']"
"25","['80','71','73','77','79','94','93','81']""24","['80','81','85','84','71','89','83']"
"23","['81','98','72','85','76','94','86','91']""22","['79','96','90','84','77','95']"
"21","['90','83','77','88','73','86','75']""20","['91','76','75','86','96','93']"
